id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
1	âmmi	n	n									l
10	ârız	y	y	a:ɾɯz	a:ɾɯzdʒɯ	a:ɾɯzɯm	a:ɾɯzɯ	a:ɾɯzɯm				l
100	açı	y	y	atʃɯ	atʃɯdʒɯ	atʃɯjɯm	atʃɯjɯ	atʃɯm				l
1000	ansuit	n	n									l
10000	işteş	n	n									l
10001	iştial	y	y	iʃtial	iʃtialdʒi	iʃtialim	iʃtiali	iʃtialim				l
10003	iştibah	n	n									l
10004	iştidad	n	n									l
10005	iştigal	y	y	iʃtigal	iʃtigaldʒi	iʃtiga:lim	iʃtiga:li	iʃtiga:lim				l
10006	iştiha	y	y	iʃtiha:	iʃtiha:dʒɯ	iʃtiha:jɯm	iʃtiha:jɯ	iʃtiha:m				l
10007	iştihar	n	n									l
10008	iştikâ	n	n									l
10009	iştikak	n	n									l
1001	ant	y	y	ant	anttʃɯ	antɯm	antɯ	antɯm				l
10010	iştira	y	y	iʃtiɾa:	iʃtiɾa:dʒɯ	iʃtiɾa:jɯm	iʃtiɾa:jɯ	iʃtiɾam				l
10011	iştirak	y	y	iʃtiɾak	iʃtiɾaktʃɯ	iʃtiɾa:kɯm	iʃtiɾa:kɯ	iʃtiɾa:kɯm				l
10012	iştiyak	y	y	iʃtijak	iʃtijaktʃɯ	iʃtijakɯm	iʃtijakɯ	iʃtijakɯm				l
10013	işünüş	n	n									l
10014	işve	y	y	iʃve	iʃvedʒi	iʃvejim	iʃveji	iʃvem				l
10015	işveren	y	y	iʃveɾen	iʃveɾendʒi	iʃveɾenim	iʃveɾeni	iʃveɾenim				l
10016	isabet	y	y	isa:bet	isa:bettʃi	isa:betim	isa:beti	isa:betim				l
10017	isaga	n	n									l
10018	isal	y	y	isal	isaldʒi	isa:lim	isa:li	isa:lim				l
10019	isale	y	y	isa:ɫe	isa:ɫedʒi	isa:ɫejim	isa:ɫeji	isa:ɫem				l
1002	antant	y	y	antant	antanttʃɯ	antantɯm	antantɯ	antantɯm				l
10020	isar	y	y	i:ʃaɾ	i:ʃaɾdʒɯ	i:ʃa:ɾɯm	i:ʃa:ɾɯ	i:ʃa:ɾɯm				l
10021	isbat	y	y	ispat	ispattʃɯ	ispa:tɯm	ispa:tɯ	ispa:tɯm				l
10022	ise	y	y	ise	isedʒi	isejim	iseji	isem				l
10023	isevî	y	y	i:sevi:	i:sevi:dʒi	i:sevi:jim	i:sevi:ji	i:sevi:m				l
10024	isfenc	n	n									l
10025	isfendan	n	n									l
10026	isfenks	y	y	isfenks	isfenkstʃi	isfenskim	isfenksi	isfenksim				l
10027	isga	n	n									l
10028	ishak	n	n									l
10029	ishakkuşu	n	n									l
1003	anten	y	y	anten	antendʒi	antenim	anteni	antenim				l
10030	ishal	y	y	ishal	ishaldʒi	ishalim	ishali	ishalim				l
10031	isilik	y	y	isiɫik	isiɫiktʃi	isiɫiim	isiɫii	isiɫiim				l
10032	isim	y	y	isim	isimdʒi	isimim	ismi	ismim				l
10033	isir	n	n									l
10034	isk-	n	n									l
10035	iska	n	n									l
10036	iskân	y	y	iscan	iscandʒɯ	isca:nɯm	isca:nɯ	isca:nɯm				l
10037	iskât	y	y	iscat	iscattʃɯ	iscatɯm	iscatɯ	iscatɯm				l
10038	iskalarya	n	n									l
10039	iskambil	y	y	iskambiɫ	iskambiɫdʒi	iskambiɫim	iskambiɫi	iskambiɫim				l
1004	antepfıstığı	y	y	antepfɯstɯɯ	antepfɯstɯktʃɯ	antepfɯstɯɯjɯm	antepfɯstɯɯnɯ	antepfɯstɯɯm				l
10040	iskandil	y	y	iskandiɫ	iskandiɫdʒi	iskandiɫim	iskandiɫi	iskandiɫim				l
10041	iskarça	n	n									l
10042	iskarmos	n	n									l
10043	iskarpelâ	n	n									l
10044	iskarpin	y	y	iskaɾpin	iskaɾpindʒi	iskaɾpinim	iskaɾpini	iskaɾpinim				l
10045	iskeç	y	y	sketʃ	sketʃtʃi	sketʃim	sketʃi	sketʃim				l
10046	iskefe	n	n									l
10047	iskele	y	y	iskeɫe	iskeɫedʒi	iskeɫejim	iskeɫeji	iskeɫem				l
10048	iskelet	y	y	iskeɫet	iskeɫettʃi	iskeɫetim	iskeɫeti	iskeɫetim				l
10049	iskemle	y	y	iskemɫe	iskemɫedʒi	iskemɫejim	iskemɫeji	iskemɫem				l
1005	anterit	n	n									l
10051	iskerlet	n	n									l
10052	iskete	n	n									l
10054	iskonto	y	y	iskonto	iskontodʒu	iskontojum	iskontoju	iskontom				l
10055	iskorbüt	y	y	iskoɾbit	iskoɾbittʃi	iskoɾbitim	iskoɾbiti	iskoɾbitim				l
10056	iskorbut	y	y	iskoɾbit	iskoɾbittʃi	iskoɾbitim	iskoɾbiti	iskoɾbitim				l
10057	iskorçina	n	n									l
10058	iskorpit	y	y	iskoɾpit	iskoɾpittʃi	iskoɾpitim	iskoɾpiti	iskoɾpitim				l
10059	iskota	n	n									l
1006	anterlin	n	n									l
10060	islâm	y	y	islam	islamdʒɯ	islamɯm	islamɯ	islamɯm				l
10061	islemek	y	y	isɫemek					isɫeɾ		isɫetiɾ	l
10062	islim	y	y	isɫim	isɫimdʒi	isɫimim	isɫimi	isɫimim				l
10063	ismen	y	y	ismen								l
10064	ismet	y	y	ismet	ismettʃi	ismetim	ismeti	ismetim				l
10065	ismi	y	y	isim	isimdʒi	ismim	ismi	ismim				l
