id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
1	âmmi	n	n									l
10	ârız	y	y	a:ɾɯ'z	a:ɾɯzdʒɯ'	a:ɾɯ'zɯm	a:ɾɯzɯ'	a:ɾɯzɯ'm				l
100	açı	y	y	atʃɯ'	atʃɯdʒɯ'	atʃɯ'jɯm	atʃɯjɯ'	atʃɯ'm				l
1000	ansuit	n	n									l
10000	işteş	n	n									l
10001	iştial	y	y	iʃtial	iʃtialdʒi'	iʃtia'lim	iʃtiali'	iʃtiali'm				l
10003	iştibah	n	n									l
10004	iştidad	n	n									l
10005	iştigal	y	y	iʃtigal	iʃtigaldʒi'	iʃtiga:'lim	iʃtiga:li'	iʃtiga:li'm				l
10006	iştiha	y	y	iʃtiha:'	iʃtiha:dʒɯ'	iʃtiha:'jɯm	iʃtiha:jɯ'	iʃtiha:'m				l
10007	iştihar	n	n									l
10008	iştikâ	n	n									l
10009	iştikak	n	n									l
1001	ant	y	y	a'nt	anttʃɯ'	a'ntɯm	antɯ'	antɯ'm				l
10010	iştira	y	y	iʃtiɾa:'	iʃtiɾa:dʒɯ'	iʃtiɾa:'jɯm	iʃtiɾa:jɯ'	iʃtiɾa'm				l
10011	iştirak	y	y	iʃtiɾa'k	iʃtiɾaktʃɯ'	iʃtiɾa:'kɯm	iʃtiɾa:kɯ'	iʃtiɾa:kɯ'm				l
10012	iştiyak	y	y	iʃtija'k	iʃtijaktʃɯ'	iʃtija'kɯm	iʃtijakɯ'	iʃtijakɯ'm				l
10013	işünüş	n	n									l
10014	işve	y	y	iʃve'	iʃvedʒi'	iʃve'jim	iʃveji'	iʃve'm				l
10015	işveren	y	y	iʃveɾe'n	iʃveɾendʒi'	iʃveɾe'nim	iʃveɾeni'	iʃveɾeni'm				l
10016	isabet	y	y	isa:be't	isa:bettʃi'	isa:be'tim	isa:beti'	isa:beti'm				l
10017	isaga	n	n									l
10018	isal	y	y	isal	isaldʒi'	isa:'lim	isa:li'	isa:li'm				l
10019	isale	y	y	isa:ɫe'	isa:ɫedʒi'	isa:ɫeji'm	isa:ɫeji'	isa:ɫe'm				l
1002	antant	y	y	anta'nt	antanttʃɯ'	anta'ntɯm	antantɯ'	antantɯ'm				l
10020	isar	y	y	i:ʃa'ɾ	i:ʃaɾdʒɯ'	i:ʃa:'ɾɯm	i:ʃa:ɾɯ'	i:ʃa:ɾɯ'm				l
10021	isbat	y	y	ispa't	ispattʃɯ'	ispa:'tɯm	ispa:tɯ'	ispa:tɯ'm				l
10022	ise	y	y	ise'	isedʒi'	ise'jim	iseji'	ise'm				l
10023	isevî	y	y	i:sevi:'	i:sevi:dʒi'	i:sevi:'jim	i:sevi:ji'	i:sevi:'m				l
10024	isfenc	n	n									l
10025	isfendan	n	n									l
10026	isfenks	y	y	isfe'nks	isfenkstʃi'	isfe'nskim	isfenksi'	isfenksi'm				l
10027	isga	n	n									l
10028	ishak	n	n									l
10029	ishakkuşu	n	n									l
1003	anten	y	y	ante'n	antendʒi'	ante'nim	anteni'	anteni'm				l
10030	ishal	y	y	ishal	ishaldʒi'	isha'lim	ishali'	ishali'm				l
10031	isilik	y	y	isiɫi'k	isiɫiktʃi'	isiɫi'im	isiɫii'	isiɫii'm				l
10032	isim	y	y	isi'm	isimdʒi'	isi'mim	ismi'	ismi'm				l
10033	isir	n	n									l
10034	isk-	n	n									l
10035	iska	n	n									l
10036	iskân	y	y	isca'n	iscandʒɯ'	isca:'nɯm	isca:nɯ'	isca:nɯ'm				l
10037	iskât	y	y	isca't	iscattʃɯ'	isca'tɯm	iscatɯ'	iscatɯ'm				l
10038	iskalarya	n	n									l
10039	iskambil	y	y	iskambi'ɫ	iskambiɫdʒi'	iskambi'ɫim	iskambiɫi'	iskambiɫi'm				l
1004	antepfıstığı	y	y	ante'pfɯstɯɯ	ante'pfɯstɯktʃɯ	ante'pfɯstɯɯjɯm	ante'pfɯstɯɯnɯ	ante'pfɯstɯɯm				l
10040	iskandil	y	y	iska'ndiɫ	iska'ndiɫdʒi	iska'ndiɫim	iska'ndiɫi	iska'ndiɫim				l
10041	iskarça	n	n									l
10042	iskarmos	n	n									l
10043	iskarpelâ	n	n									l
10044	iskarpin	y	y	iskaɾpi'n	iskaɾpindʒi'	iskaɾpi'nim	iskaɾpini'	iskaɾpini'm				l
10045	iskeç	y	y	sketʃ	sketʃtʃi'	ske'tʃim	sketʃi'	sketʃi'm				l
10046	iskefe	n	n									l
10047	iskele	y	y	iske'ɫe	iske'ɫedʒi	iske'ɫejim	iske'ɫeji	iske'ɫem				l
10048	iskelet	y	y	iskeɫe't	iskeɫettʃi'	iskeɫe'tim	iskeɫeti'	iskeɫeti'm				l
10049	iskemle	y	y	iske'mɫe	iske'mɫedʒi	iske'mɫejim	iske'mɫeji	iske'mɫem				l
1005	anterit	n	n									l
10051	iskerlet	n	n									l
10052	iskete	n	n									l
10054	iskonto	y	y	iskonto'	iskontodʒu'	iskonto'jum	iskontoju'	iskonto'm				l
10055	iskorbüt	y	y	iskoɾbi't	iskoɾbittʃi'	iskoɾbi'tim	iskoɾbiti'	iskoɾbiti'm				l
10056	iskorbut	y	y	iskoɾbi't	iskoɾbittʃi'	iskoɾbi'tim	iskoɾbiti'	iskoɾbiti'm				l
10057	iskorçina	n	n									l
10058	iskorpit	y	y	iskoɾpi't	iskoɾpittʃi'	iskoɾpi'tim	iskoɾpiti'	iskoɾpiti'm				l
