id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
1	âmmi											l
10	ârız											l
100	açı			atʃɯ	atʃɯdʒɯ	atʃɯjɯm	atʃɯjɯ	atʃɯm				l
1000	ansuit											l
10000	işteş											l
10001	iştial											l
10002	iştial *											l
10003	iştibah											l
10004	iştidad											l
10005	iştigal											l
10006	iştiha			iʃtiha:	iʃtiha:dʒɯ	iʃtiha:jɯm	iʃtiha:jɯ	iʃtiha:m				l
10007	iştihar											l
10008	iştikâ											l
10009	iştikak											l
1001	ant											l
10010	iştira											l
10011	iştirak			iʃtiɾak		iʃtiɾa:kim	iʃtiɾa:ki	iʃtiɾa:kim				l
10012	iştiyak											l
10013	işünüş											l
10014	işve			iʃve		iʃvejim	iʃveji	iʃvem				l
10015	işveren											l
10016	isabet			isa:bet	isa:bettʃi	isa:betim	isa:beti	isa:betim				l
10017	isaga											l
10018	isal											l
10019	isale											l
1002	antant			antant		antantɯm	antantɯ	antantɯm				l
10020	isar											l
10021	isbat											l
10022	ise			ise								l
10023	isevî											l
10024	isfenc											l
10025	isfendan											l
10026	isfenks			sɯxfenks	sɯxfenkstʃi	sɯxfenksim	sɯxfenksi	sɯxfenksim				l
10027	isga											l
10028	ishak											l
10029	ishakkuşu											l
1003	anten											l
10030	ishal											l
10031	isilik											l
10032	isim			isim	isimdʒi	isimim	ismi	ismim				l
10033	isir											l
10034	isk-											l
10035	iska											l
10036	iskân											l
10037	iskât											l
10038	iskalarya											l
10039	iskambil											l
1004	antepfıstığı			antepfɯstɯɯ		antepfɯstɯɯjɯm	antepfɯstɯɯnɯ	antepfɯstɯɯm				l
10040	iskandil			iskandiɫ	iskandiɫdʒi	iskandiɫim	iskandiɫi	iskandiɫim				l
10041	iskarça											l
10042	iskarmos			ɯskaɾmoz		ɯskaɾmozum	ɯskaɾmozu	ɯskaɾmozum				l
10043	iskarpelâ											l
10044	iskarpin											l
10045	iskeç											l
10046	iskefe											l
10047	iskele			iskeɫe		iskeɫejim	iskeɫeji	iskeɫem				l
10048	iskelet			iskeɫet	iskeɫettʃi	iskeɫetim	iskeɫeti	iskeɫetim				l
10049	iskemle											l
1005	anterit											l
10050	iskender											l
10051	iskerlet											l
10052	iskete			iskete		isketejim	isketeji	isketem				l
10053	iskoç			iskotʃ		iskotʃum	iskotʃu	iskotʃum				l
10054	iskonto			iskonto		iskontojum	iskontoju	iskontom				l
10055	iskorbüt											l
10056	iskorbut											l
10057	iskorçina											l
10058	iskorpit			iskoɾpit	iskoɾpittʃi	iskoɾpitim	iskoɾpiti	iskoɾpitim				l
10059	iskota											l
1006	anterlin											l
10060	islâm			islam		isla:mɯm	isla:mɯ	isla:mɯm				l
10061	islemek											l
10062	islim			isɫim	isɫimdʒi	isɫimim	isɫimi	isɫimim				l
10063	ismen											l
10064	ismet											l
10065	ismi											l
10066	isnad											l
10067	isnat											l
10068	iso-											l
10069	isp-											l
1007	antet											l
10070	ispalya											l
10071	ispanya			ispanja	ispanjadʒɯ	ispanjajɯm	ispanjajɯ	ispanjam				l
10072	ispanyol			ispanjoɫ	ispanjoɫdʒu	ispanjoɫum	ispanjoɫu	ispanjoɫum				l
10073	ispanyolet											l
10074	ispaolo											l
10075	ispari											l
10076	ispat											l
10077	ispati											l
10078	ispatlamak											l
10079	ispazmos											l
1008	anti-											l
10080	ispenc			ispentʃ	ispentʃtʃi	ispendʒim	ispendʒi	ispendʒim				l
10081	ispenç											l
10082	ispençiyar											l
10083	ispenciyar											l
10084	ispendik			ispendek	ispendektʃi	ispendeim	ispendei	ispendeim				l
10085	ispermeçet			ispeɾmetʃet	ispeɾmetʃettʃi	ispeɾmetʃetim	ispeɾmetʃeti	ispeɾmetʃetim				l
10086	ispinoz			ispinoz		ispinozum	ispinozu	ispinozum				l
10087	ispir											l
10088	ispiralya											l
10089	ispirto											l
1009	antik			antik		antiim	antii	antiim				l
10090	ispit											l
10091	ispitalya											l
10092	ispiyon											l
10093	isporcu											l
10094	ispritizma											l
10095	israf			isɾaf	isɾaftʃɯ	isɾa:fɯm	isɾa:fɯ	isɾa:fɯm				l
10096	israfil											l
10097	israil											l
10098	istadya											l
10099	istaka											l
101	açıcı											l
1010	antika			antika		antikajɯm	antikajɯ	antikam				l
10100	istakoz			ɯstakoz		ɯstakozum	ɯstakozu	ɯstakozum				l
10101	istalâktit											l
10102	istalagmit											l
10103	istalya											l
10104	istalyoz											l
10105	istampa			ɯstampa		ɯstampajɯm	ɯstampajɯ	ɯstampam				l
10106	istanbulin											l
10107	istasyon			istasjon		istasjonum	istasjonu	istasjonum				l
10108	istatistik			istatistik		istatistiim	istatistii	istatistiim				l
