id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
1	âmmi											l
10	ârız											l
100	açı			atʃɯ'	atʃɯdʒɯ'	atʃɯ'jɯm	atʃɯjɯ'	atʃɯ'm				l
1000	ansuit											l
10000	işteş											l
10001	iştial											l
10002	iştial *											l
10003	iştibah											l
10004	iştidad											l
10005	iştigal											l
10006	iştiha			iʃtiha:'	iʃtiha:dʒɯ'	iʃtiha:'jɯm	iʃtiha:jɯ'	iʃtiha:'m				l
10007	iştihar											l
10008	iştikâ											l
10009	iştikak											l
1001	ant											l
10010	iştira											l
10011	iştirak			iʃtiɾa'k		iʃtiɾa:'kim	iʃtiɾa:ki'	iʃtiɾa:ki'm				l
10012	iştiyak											l
10013	işünüş											l
10014	işve			iʃve'		iʃve'jim	iʃveji'	iʃve'm				l
10015	işveren											l
10016	isabet			isa:be't	isa:bettʃi'	isa:be'tim	isa:beti'	isa:beti'm				l
10017	isaga											l
10018	isal											l
10019	isale											l
1002	antant			anta'nt		anta'ntɯm	antantɯ'	antantɯ'm				l
10020	isar											l
10021	isbat											l
10022	ise			ise'								l
10023	isevî											l
10024	isfenc											l
10025	isfendan											l
10026	isfenks			sɯxfe'nks	sɯxfenkstʃi'	sɯxfe'nksim	sɯxfenksi'	sɯxfenksi'm				l
10027	isga											l
10028	ishak											l
10029	ishakkuşu											l
1003	anten											l
10030	ishal											l
10031	isilik											l
10032	isim			isi'm	isimdʒi'	isi'mim	ismi'	ismi'm				l
10033	isir											l
10034	isk-											l
10035	iska											l
10036	iskân											l
10037	iskât											l
10038	iskalarya											l
10039	iskambil											l
1004	antepfıstığı			a'ntepfɯstɯɯ		a'ntepfɯstɯɯjɯm	a'ntepfɯstɯɯnɯ	a'ntepfɯstɯɯm				l
10040	iskandil			iskandi'ɫ	iskandiɫdʒi'	iskandi'ɫim	iskandiɫi'	iskandiɫi'm				l
10041	iskarça											l
10042	iskarmos			ɯskaɾmo'z		ɯskaɾmo'zum	ɯskaɾmozu'	ɯskaɾmozu'm				l
10043	iskarpelâ											l
10044	iskarpin											l
10045	iskeç											l
10046	iskefe											l
10047	iskele			iske'ɫe		iske'ɫejim	iske'ɫeji	iske'ɫem				l
10048	iskelet			iskeɫe't	iskeɫettʃi'	iskeɫe'tim	iskeɫeti'	iskeɫeti'm				l
10049	iskemle											l
1005	anterit											l
10050	iskender											l
10051	iskerlet											l
10052	iskete			iske'te		iske'tejim	iske'teji	iske'tem				l
10053	iskoç			isko'tʃ		isko'tʃum	iskotʃu'	iskotʃu'm				l
10054	iskonto			isko'nto		isko'ntojum	isko'ntoju	isko'ntom				l
10055	iskorbüt											l
10056	iskorbut											l
10057	iskorçina											l
10058	iskorpit			iskoɾpi't	iskoɾpittʃi'	iskoɾpi'tim	iskoɾpiti'	iskoɾpiti'm				l
10059	iskota											l
1006	anterlin											l
10060	islâm			isla'm		isla:'mɯm	isla:mɯ'	isla:mɯ'm				l
10061	islemek											l
10062	islim			isɫi'm	isɫimdʒi'	isɫi'mim	isɫimi'	isɫimi'm				l
10063	ismen											l
10064	ismet											l
10065	ismi											l
10066	isnad											l
10067	isnat											l
10068	iso-											l
10069	isp-											l
1007	antet											l
10070	ispalya											l
10071	ispanya			ispa'nja	ispa'njadʒɯ	ispa'njajɯm	ispa'njajɯ	ispa'njam				l
10072	ispanyol			ispanjo'ɫ	ispanjoɫdʒu'	ispanjo'ɫum	ispanjoɫu'	ispanjoɫu'm				l
10073	ispanyolet											l
10074	ispaolo											l
10075	ispari											l
10076	ispat											l
10077	ispati											l
10078	ispatlamak											l
10079	ispazmos											l
1008	anti-											l
10080	ispenc			ispe'ntʃ	ispentʃtʃi'	ispe'ndʒim	ispendʒi'	ispendʒi'm				l
10081	ispenç											l
10082	ispençiyar											l
10083	ispenciyar											l
10084	ispendik			ispende'k	ispendektʃi'	ispende'im	ispendei'	ispendei'm				l
10085	ispermeçet			ispeɾmetʃe't	ispeɾmetʃettʃi'	ispeɾmetʃeti'm	ispeɾmetʃeti'	ispeɾmetʃeti'm				l
10086	ispinoz			ispino'z		ispino'zum	ispinozu'	ispinozu'm				l
10087	ispir											l
10088	ispiralya											l
10089	ispirto											l
1009	antik			anti'k		anti'im	antii'	antii'm				l
10090	ispit											l
10091	ispitalya											l
10092	ispiyon											l
10093	isporcu											l
10094	ispritizma											l
10095	israf			isɾa'f	isɾaftʃɯ'	isɾa:'fɯm	isɾa:fɯ'	isɾa:fɯ'm				l
10096	israfil											l
10097	israil											l
10098	istadya											l
10099	istaka											l
101	açıcı											l
1010	antika			antika'		antika'jɯm	antikajɯ'	antika'm				l
10100	istakoz			ɯstako'z		ɯstako'zum	ɯstakozu'	ɯstakozu'm				l
