id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
1	hl											l
10	lh											l
100	ll			ll'	lll'	ll'h	lll'	lh'				l
1000	hlh											l
10000	hh											l
10001	hlh											l
10002	hlh *											l
10003	hlh											l
10004	hlh											l
10005	hlh											l
10006	hll			hll'	hlhl'	hll'h	hlhl'	hlh'				l
10007	hlh											l
10008	hll											l
10009	hlh											l
1001	h											l
10010	hll											l
10011	hlh			hlh'		hll'h	hlhl'	hlhh'				l
10012	hlh											l
10013	llh											l
10014	hl			hl'		hl'h	hll'	hh'				l
10015	hlh											l
10016	llh			lhh'	lhhl'	lhl'h	lhll'	lhlh'				l
10017	lll											l
10018	lh											l
10019	lll											l
1002	hh			hh'		hh'h	hhl'	hhh'				l
10020	lh											l
10021	hh											l
10022	ll			ll'								l
10023	lll											l
10024	hh											l
10025	hhh											l
10026	hh			lh'	lhl'	lh'h	lhl'	lhh'				l
10027	hl											l
10028	hh											l
10029	hhll											l
1003	hh											l
10030	hh											l
10031	llh											l
10032	lh			lh'	lhl'	ll'h	hl'	hh'				l
10033	lh											l
10034	h-											l
10035	hl											l
10036	hh											l
10037	hh											l
10038	hlhl											l
10039	hhh											l
1004	hhhll			h'hhll		h'hhllh	h'hhlll	h'hhlh				l
10040	hhh			hhh'	hhhl'	hhl'h	hhll'	hhlh'				l
10041	hhl											l
10042	hhh			hhh'		hhl'h	hhll'	hhlh'				l
10043	hhll											l
10044	hhh											l
10045	hh											l
10046	hll											l
10047	hll			hl'l		hl'lh	hl'll	hl'h				l
10048	hlh			hlh'	hlhl'	hll'h	hlll'	hllh'				l
10049	hhl											l
1005	hlh											l
10050	hhh											l
10051	hhh											l
10052	hll			hl'l		hl'lh	hl'll	hl'h				l
10053	hh			hh'		hl'h	hll'	hlh'				l
10054	hhl			hh'l		hh'lh	hh'll	hh'h				l
10055	hhh											l
10056	hhh											l
10057	hhll											l
10058	hhh			hhh'	hhhl'	hhl'h	hhll'	hhlh'				l
10059	hll											l
1006	hhh											l
10060	hh			hh'		hl'h	hhl'	hhh'				l
10061	hlh											l
10062	hh			hh'	hhl'	hl'h	hll'	hlh'				l
10063	hh											l
10064	hh											l
10065	hl											l
10066	hh											l
10067	hh											l
10068	ll-											l
10069	h-											l
1007	hh											l
10070	hhl											l
10071	hhl			hh'l	hh'll	hh'lh	hh'll	hh'h				l
10072	hhh			hhh'	hhhl'	hhl'h	hhll'	hhlh'				l
