id	id	source	lexeme	gloss57	gloss92	gloss57_ii	gloss92_ii	gloss57_iii	gloss92_iii	gloss57_iv	gloss92_iv	gloss57_v	gloss92_v	ulcase
1	1	57	a@mmi	(-.) paternal uncle.										l
10	10	57	a@ri@z	(-.) that which occurs or befalls; accidental; intercepting, impeding, obstructing. cheek.										l
100	100	92	ac@i@		(math.) angle; (eng.) elbow; (fig.) view(point), direction.									l
1000	1000	92	ansuit		(arch.) en suite.									l
10000	10000	92	is@tes@		fellow-worker, workmate.									l
10002	10002	57	is@tial	a becoming kindled; a blazing up; conflagration.										l
10003	10003	57	is@tibah	(..										l
10004	10004	57	is@tidad	(..										l
10005	10005	57 92	is@tigal	(..	-ibeing busy/occupied.									l
10006	10006	57	is@tiha	(..-) v.is#tah.										l
10007	10007	57 92	is@tihar	(..	becoming famous; fame; notoriety.									l
10008	10008	57	is@tika@	(..-) a complaining.										l
10009	10009	57 92	is@tikak	(..	-i# (ling.) derivation; etymology.									l
1001	1001	92	ant		-di#oath; vow.									l
10010	10010	57 92	is@tira	(..-) purchase.	purchase.									l
10011	10011	57 92	is@tirak	(..	-iparticipation; association; assistance; sharing.									l
10012	10012	57 92	is@tiyak	(..	-i# longing.									l
10013	10013	57	is@u@nu@s@	(-..) revel carousal.										l
10014	10014	57 92	is@ve	coquetry, flirting.	coquetry, flirting.									l
10015	10015	92	is@veren		employer.									l
10016	10016	57 92	isabet	(.-.), -tia hitting the mark; a thing said or done just right.	-ifalling to; hitting the mark; touching, striking; stg. said/done just right.									l
10017	10017	57	isaga	(.-.) etm.tla. cast (metals).										l
10018	10018	57 92	isal	(--) etm.va.cause to arrive or attain.	-icausing to arrive/reach.									l
10019	10019	57	isale	(.-.) etm.va.bring or divert (water).										l
1002	1002	92	antant		-i# (adm.) treaty, agreement, entence.									l
10020	10020	57	isar	(--) etm.va.give in abundance.										l
10021	10021	57	isbat	(.										l
10022	10022	57 92	ise	1 . verbal suffix forming the 3rd pers. sing. of a conditional tense, generally abbreviated to -se, -sa. 2. conj.however; as for.	v. suf.[99]forming the basis of the conditional tenses = ermek 1. conj.[217]however; whereas; with regard to . . ., as for . . .; if ~de, although.									l
10023	10023	57	isevi@@	(-.-) christian.										l
10024	10024	57	isfenc	sponge.										l
10025	10025	57 92	isfendan	maple-tree.	(bot.) maple(-tree).									l
10026	10026	57 92	isfenks	sphinx.	(myth.) sphinx.									l
10027	10027	57	isga	(.-) etm.va.listen to; comply with.										l
10028	10028	57	ishak	-ki#scops owl.										l
10029	10029	92	ishakkus@u		-nu(orn.) short-eared owl.									l
1003	1003	92	anten		(rad.) antenna, aerial; (enn) antenna, feeler; (naut.) spar.									l
10030	10030	57 92	ishal	(.	-i(med.) purging, (bio.) catharsis; diarrhoea.									l
10031	10031	57 92	isilik	heat-spots; rash.	(bio.) heat spots, rash.									l
10032	10032	57 92	isim	-sminame; noun. ismini cismini bilmem, i know nothing about him:	-miname; appellation; (ling.) noun.									l
10033	10033	57	isir	-sritrace; track. ..in isrine iktifa etm., to follow in the footsteps of ...										l
10034	10034	92	isk-		also = i#sk-.									l
10035	10035	57	iska	(.-) a watering or irrigating.										l
10036	10036	57 92	iska@n	(.	causing to settle/inhabit; inhabiting; settling.									l
10037	10037	57	iska@t	(.-) etm.va.silence; appease.										l
10038	10038	92	iskalarya		(naut.) rope-ladder.									l
10039	10039	57 92	iskambil	playing card; name of a card game.	-i(gamb.) card-game.									l
1004	1004	57 92	antepfi@sti@g@i@	(.....) -ni#pistachio nut.	-ni#(bot.) pistachio (nut/ tree).									l
10040	10040	57 92	iskandil	sounding-lead.	(naut.) sounding (lead); (fig.) inquiry, soundings.									l
10041	10041	57	iskarc@a	(...) crowded, packed tight.										l
10042	10042	92	iskarmos		= iskarmoz.									l
10043	10043	57	iskarpela@	carpenters chisel.										l
10044	10044	57	iskarpin	(womans) shoe.										l
10045	10045	57	iskec@	sketch.										l
10046	10046	57	iskefe	(...) skull-cap. the stretching and softening of leather.										l
10047	10047	57 92	iskele	(...) landing-place; quay; port of call; ladder; scaffolding; port (opp.to starboard).	(naut.) landing-place; quay; wharf; gangway; port of call; port(-side); ladder; (arch.) scaffolding; (ind.) cat-walk.									l
10048	10048	57 92	iskelet	-tiskeleton.	-i(bio.) skeleton; (ind.) skeleton, carcass, framework.									l
10049	10049	57 92	iskemle	chair; stool.	stool; coffee-table.									l
1005	1005	92	anterit		-i(med.) enteritis.									l
10051	10051	92	iskerlet		-i(zoo.) murex.									l
10052	10052	57 92	iskete	(...) finch.	(orn.) coal-tit.									l
10054	10054	57	iskonto	(...) discount.										l
10055	10055	92	iskorbu@t		-u (med.) scurvy.									l
10056	10056	57	iskorbut	-tu#scurvy.										l
10057	10057	92	iskorc@ina		(bot.) scorzonera, vipers grass, black saisify.									l
10058	10058	57 92	iskorpit	-tiscorpion fish (scorpaena).	-i(ich.) large-scaled scorpion-fish.									l
10059	10059	92	iskota		(naut.) sheet.									l
1006	1006	92	anterlin		(pub.) inter-line.									l
10060	10060	57	isla@m	islam.										l
10061	10061	57 92	islemek	va.blacken with soot; smoke (fish etc.); burn (food).	(-i) make black with soot.									l
10062	10062	57 92	islim	steam.	(ind.) steam.									l
10063	10063	57 92	ismen	(..) by name.	by name; nominally.									l
10064	10064	57 92	ismet	-tichastity; honour; innocence.	-ichastity; honour; innocence.									l
10065	10065	57	ismi	v.isim.										l
10066	10066	57	isnad	(.										l
10067	10067	92	isnat		-di#i#mputation; calumny.									l
10068	10068	92	iso-		pref. = es#-; izo-.									l
10069	10069	92	isp-		also = isp.-; sp-.									l
1007	1007	92	antet		-iheadline, letter-head.									l
10070	10070	92	ispalya		(agr.) espalier-fence.									l
10072	10072	57	ispanyol	spanish; spaniard.										l
10073	10073	57	ispanyolet	-tiwindow latch.										l
10074	10074	92	ispaolo		(tex.) double-twist linen thread.									l
10075	10075	92	ispari		(ich.) (?) annular sea-bream/ gilthead.									l
10076	10076	57 92	ispat	v.isbat.	-i#proof; confirmation; demonstration.									l
10077	10077	92	ispati		(gamb.) club suit (cards).									l
10078	10078	92	ispatlamak		(-i) bear witness, testify.									l
10079	10079	92	ispazmos		(med.) spasm, convulsion.									l
1008	1008	92	anti-		pref.anti-.									l
10080	10080	57	ispenc	bantam.										l
10081	10081	92	ispenc@		-ci(orn.) bantam.									l
10082	10082	92	ispenc@iyar		(obs.) apothecary, pharmacist.									l
10083	10083	57	ispenciyar	chemist, pharmacist.										l
10084	10084	57 92	ispendik	small bass.	-g#i(ich.) bass fry.									l
10085	10085	57 92	ispermec@et	-tispermaceti.	-i(zoo.) spermaceti.									l
10086	10086	57 92	ispinoz	chaffinch.	(orn.) chaffinch; (sl.) chatterbox.									l
10087	10087	57 92	ispir	groom.	(horse, carriage) groom.									l
10088	10088	92	ispiralya		(naut.) skylight; porthole.									l
10089	10089	57 92	ispirto	(...) alcohol.	(chem.) alcohol; aqua vitae; (med.) spirit.									l
1009	1009	92	antik		a.antique; ancient.									l
